LAST SEEN   TYPE      REASON                  OBJECT                                 MESSAGE
2m20s       Warning   RolloutAborted          rollout/inference                      Rollout aborted update to revision 5: Step-based analysis phase error/failed: Metric "holdout-accuracy" assessed Failed due to failed (2) > failureLimit (1)
2m20s       Normal    ScalingReplicaSet       rollout/inference                      Scaled down ReplicaSet inference-cd464759d (revision 5) from 1 to 0
2m20s       Warning   MetricFailed            analysisrun/inference-cd464759d-5-1    Metric 'holdout-accuracy' Completed. Result: Failed
2m20s       Warning   AnalysisRunFailed       analysisrun/inference-cd464759d-5-1    Analysis Completed. Result: Failed
2m20s       Warning   AnalysisRunFailed       rollout/inference                      Step Analysis Run 'inference-cd464759d-5-1' Status New: 'Failed' Previous: 'Running'
2m20s       Warning   Unhealthy               pod/inference-cd464759d-kbk9g          Readiness probe failed: Get "http://10.42.0.113:8000/health": EOF
2m9s        Normal    SuccessfulCreate        cronjob/drift                          (combined from similar events): Created job drift-29653045
2m9s        Normal    Pulled                  pod/drift-29653045-fsxcr               Container image "pipeline-ml-drift:dev" already present on machine
2m9s        Normal    Created                 pod/drift-29653045-fsxcr               Created container drift
2m9s        Normal    SuccessfulCreate        job/drift-29653045                     Created pod: drift-29653045-fsxcr
2m9s        Normal    Started                 pod/drift-29653045-fsxcr               Started container drift
2m2s        Normal    Completed               job/drift-29653045                     Job completed
